model_name,probability_bin,row_count,average_predicted_probability,actual_positive_rate
ao1_logistic_regression_baseline,"(-0.001, 0.1]",174,0.08626520719800151,0.3448275862068966
ao1_logistic_regression_baseline,"(0.1, 0.2]",1623,0.16031366527700897,0.3536660505237215
ao1_logistic_regression_baseline,"(0.2, 0.3]",6720,0.259743976484797,0.39553571428571427
ao1_logistic_regression_baseline,"(0.3, 0.4]",6163,0.3404115271831435,0.41538211909784195
ao1_logistic_regression_baseline,"(0.4, 0.5]",2238,0.44443154109668304,0.45218945487042
ao1_logistic_regression_baseline,"(0.5, 0.6]",1109,0.5426942562035837,0.5311091073038774
ao1_logistic_regression_baseline,"(0.6, 0.7]",1582,0.6585617921346993,0.7395701643489254
ao1_logistic_regression_baseline,"(0.7, 0.8]",2800,0.7451766400121461,0.7528571428571429
ao1_logistic_regression_baseline,"(0.8, 0.9]",867,0.8411597486638968,0.8016147635524798
ao1_logistic_regression_baseline,"(0.9, 1.0]",4367,0.996823131481076,0.9926723150904511
ao1_xgboost_classifier,"(-0.001, 0.1]",730,0.038625362656164376,0.0
ao1_xgboost_classifier,"(0.2, 0.3]",890,0.2770088038651685,0.350561797752809
ao1_xgboost_classifier,"(0.3, 0.4]",15174,0.3309118485521287,0.39771978384078027
ao1_xgboost_classifier,"(0.4, 0.5]",496,0.43252838451612907,0.42338709677419356
ao1_xgboost_classifier,"(0.5, 0.6]",148,0.5476874934459459,0.6351351351351351
ao1_xgboost_classifier,"(0.6, 0.7]",262,0.6591445951145039,0.8320610687022901
ao1_xgboost_classifier,"(0.7, 0.8]",5013,0.7455901599980052,0.7917414721723519
ao1_xgboost_classifier,"(0.8, 0.9]",44,0.8139188504545453,0.8409090909090909
ao1_xgboost_classifier,"(0.9, 1.0]",4886,0.9927071811788785,1.0
