feature_name,mean_abs_shap,mean_signed_shap,importance_share,rank
categorical__shipping_mode_normalized_first_class,5.780122,5.780122,0.3810038,1
categorical__order_state_normalized_tabasco,0.31227824,-0.31227824,0.020584201,2
categorical__order_state_normalized_murcia,0.3095292,0.3095292,0.020402994,3
numeric_continuous__scheduled_shipping_days,0.30237073,0.06887957,0.019931136,4
categorical__shipping_speed_tier_standard,0.2683656,-0.2683656,0.017689645,5
categorical__order_country_normalized_repblica_democrtica_del_congo,0.23980965,0.23980965,0.015807346,6
categorical__order_state_normalized_duarte,0.22989981,0.22989981,0.015154127,7
categorical__order_state_normalized_manawatuwanganui,0.20480613,0.20480613,0.013500046,8
categorical__order_state_normalized_jrkov,0.18351592,0.18351592,0.012096676,9
categorical__order_state_normalized_atlntida,0.1729253,0.1729253,0.011398582,10
categorical__order_state_normalized_limburgo,0.161463,0.161463,0.010643031,11
categorical__order_country_normalized_suecia,0.16094881,0.16094881,0.010609138,12
categorical__order_state_normalized_matanzas,0.16091782,-0.16091782,0.0106070945,13
categorical__order_state_normalized_ontario,0.15887077,-0.15887077,0.010472161,14
categorical__order_state_normalized_mazovia,0.1588273,-0.1588273,0.010469296,15
categorical__order_state_normalized_marche,0.15643935,-0.15643935,0.01031189,16
categorical__order_state_normalized_flanders_oriental,0.15208763,0.15208763,0.010025042,17
categorical__order_state_normalized_dar_es_salaam,0.14198874,-0.14198874,0.009359362,18
categorical__order_state_normalized_delhi,0.13604945,-0.13604945,0.008967865,19
categorical__order_state_normalized_ginebra,0.13098662,0.13098662,0.008634143,20
categorical__order_state_normalized_ancash,0.13030408,-0.13030408,0.008589153,21
categorical__order_state_normalized_irkutsk,0.12931462,0.12931462,0.008523931,22
categorical__order_state_normalized_sind,0.1284769,-0.1284769,0.008468712,23
categorical__order_state_normalized_nusatenggara_occidental,0.12113505,-0.12113505,0.007984765,24
categorical__order_state_normalized_kurdistn,0.12029014,0.12029014,0.007929072,25
categorical__order_country_normalized_hungra,0.11378197,0.11378197,0.0075000776,26
categorical__order_state_normalized_pilsen,0.11094289,0.11094289,0.0073129362,27
categorical__order_state_normalized_khulna,0.10705069,-0.10705069,0.007056377,28
categorical__order_state_normalized_tamaulipas,0.10028623,0.10028623,0.0066104895,29
categorical__order_state_normalized_durango,0.098368034,0.09553968,0.006484049,30
categorical__order_state_normalized_santa_catarina,0.09494883,0.09494883,0.006258668,31
categorical__order_state_normalized_dnipropetrovsk,0.09310375,0.09310375,0.0061370474,32
categorical__order_state_normalized_kivu_del_sur,0.09252518,0.09252518,0.0060989102,33
categorical__customer_state_normalized_ny,0.090684496,0.090684496,0.0059775794,34
categorical__order_state_normalized_quintana_roo,0.08828346,0.08828346,0.005819312,35
categorical__order_state_normalized_san_juan,0.08717872,0.08717872,0.0057464917,36
categorical__order_state_normalized_finlandia_del_sudoeste,0.08556573,-0.08556573,0.0056401696,37
categorical__order_state_normalized_lombarda,0.08513957,-0.08513957,0.005612079,38
categorical__order_country_normalized_panam,0.08492257,-0.08492257,0.005597775,39
