feature_name,importance_gain_proxy,importance_share
binary_flags__is_standard_shipping,0.58784837,0.58784837
categorical__shipping_mode_normalized_same_day,0.10798613,0.10798613
numeric_continuous__scheduled_shipping_days,0.094729654,0.094729654
categorical__shipping_mode_normalized_first_class,0.03406663,0.03406663
binary_flags__is_same_day_or_next_day_shipping,0.029730882,0.029730882
categorical__shipping_mode_normalized_second_class,0.020238321,0.020238321
numeric_continuous__order_hour,0.017035782,0.017035782
categorical__shipping_speed_tier_standard,0.015109271,0.015109271
categorical__order_region_normalized_south_asia,0.001690679,0.001690679
categorical__order_region_normalized_west_of_usa,0.0015778263,0.0015778263
categorical__order_state_normalized_kentucky,0.0014304437,0.0014304437
categorical__customer_state_normalized_ma,0.0013272383,0.0013272383
categorical__customer_state_normalized_or,0.0012197932,0.0012197932
categorical__order_region_normalized_south_america,0.001136823,0.001136823
categorical__order_country_normalized_rumania,0.0010335841,0.0010335841
categorical__market_normalized_pacific_asia,0.00095812767,0.00095812767
categorical__order_state_normalized_chiriqu,0.0009546405,0.0009546405
categorical__order_state_normalized_durango,0.00093871215,0.00093871215
categorical__order_state_normalized_borgoafranco_condado,0.0008377209,0.0008377209
categorical__order_state_normalized_murcia,0.00082517084,0.00082517084
categorical__order_region_normalized_eastern_europe,0.000795606,0.000795606
categorical__customer_state_normalized_ks,0.00078956614,0.00078956614
categorical__customer_segment_normalized_corporate,0.00078848953,0.00078848953
categorical__customer_state_normalized_mo,0.0007728612,0.0007728612
categorical__order_country_normalized_hungra,0.0007648218,0.0007648218
categorical__order_country_normalized_repblica_democrtica_del_congo,0.0007550722,0.0007550722
categorical__order_country_normalized_cuba,0.0007477255,0.0007477255
categorical__order_state_normalized_washington,0.00074270804,0.00074270804
categorical__order_state_normalized_duarte,0.0007389767,0.0007389767
categorical__order_state_normalized_panam,0.0007340293,0.0007340293
categorical__order_state_normalized_dnipropetrovsk,0.0007308296,0.0007308296
categorical__order_state_normalized_quintana_roo,0.00072615955,0.00072615955
categorical__order_state_normalized_nueva_jersey,0.0007239415,0.0007239415
categorical__order_state_normalized_tamaulipas,0.0007232186,0.0007232186
categorical__Type_CASH,0.00071776775,0.00071776775
categorical__order_state_normalized_finlandia_del_sudoeste,0.00070858054,0.00070858054
categorical__order_state_normalized_amberes,0.0007064505,0.0007064505
categorical__order_country_normalized_canada,0.0006927002,0.0006927002
categorical__order_state_normalized_tabasco,0.0006893513,0.0006893513
categorical__order_region_normalized_western_europe,0.0006833758,0.0006833758
categorical__order_state_normalized_sajonia,0.0006826587,0.0006826587
categorical__order_state_normalized_alsaciachampaaardenaslorena,0.00067643984,0.00067643984
categorical__order_country_normalized_panam,0.0006751762,0.0006751762
categorical__order_state_normalized_chongqing,0.0006641106,0.0006641106
categorical__customer_state_normalized_tn,0.0006630222,0.0006630222
categorical__order_state_normalized_mxico,0.0006515688,0.0006515688
categorical__order_country_normalized_suecia,0.0006472319,0.0006472319
categorical__order_state_normalized_huehuetenango,0.0006468501,0.0006468501
categorical__order_state_normalized_atlntida,0.0006422662,0.0006422662
categorical__order_state_normalized_lombarda,0.0006410892,0.0006410892
categorical__customer_state_normalized_mn,0.0006368282,0.0006368282
categorical__order_country_normalized_marruecos,0.0006308413,0.0006308413
categorical__order_state_normalized_nueva_york,0.00063078554,0.00063078554
categorical__order_state_normalized_santa_catarina,0.00062982354,0.00062982354
categorical__order_state_normalized_pensilvania,0.0006297836,0.0006297836
categorical__order_state_normalized_flanders_oriental,0.000624347,0.000624347
numeric_continuous__order_year,0.00062324514,0.00062324514
categorical__order_state_normalized_valenciana,0.00062230113,0.00062230113
categorical__order_state_normalized_ontario,0.0006185791,0.0006185791
categorical__order_state_normalized_limburgo,0.0006183676,0.0006183676
categorical__customer_state_normalized_ca,0.0006179873,0.0006179873
categorical__order_country_normalized_indonesia,0.00061565853,0.00061565853
