model_name,feature_name,importance_type,importance_value,importance_rank
ao2_gradient_boosting_regressor,categorical__shipping_speed_tier_standard,gain_normalized,0.01697316,1
ao2_gradient_boosting_regressor,categorical__order_state_normalized_cork,gain_normalized,0.016188858,2
ao2_gradient_boosting_regressor,categorical__product_category_key_45_fishing,gain_normalized,0.015886825,3
ao2_gradient_boosting_regressor,numeric_continuous__item_unit_price,gain_normalized,0.015094075,4
ao2_gradient_boosting_regressor,categorical__order_state_normalized_copperbelt,gain_normalized,0.014476473,5
ao2_gradient_boosting_regressor,numeric_continuous__order_item_quantity,gain_normalized,0.014046226,6
ao2_gradient_boosting_regressor,categorical__order_state_normalized_veracruz,gain_normalized,0.013825894,7
ao2_gradient_boosting_regressor,categorical__order_state_normalized_baha,gain_normalized,0.013561323,8
ao2_gradient_boosting_regressor,categorical__shipping_mode_normalized_second_class,gain_normalized,0.012454553,9
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_md,gain_normalized,0.012350716,10
ao2_gradient_boosting_regressor,categorical__order_state_normalized_drenthe,gain_normalized,0.0119676655,11
ao2_gradient_boosting_regressor,categorical__order_state_normalized_kandahar,gain_normalized,0.011925266,12
ao2_gradient_boosting_regressor,categorical__order_state_normalized_dinamarca_meridional,gain_normalized,0.011323018,13
ao2_gradient_boosting_regressor,categorical__order_state_normalized_nyanza,gain_normalized,0.010837238,14
ao2_gradient_boosting_regressor,categorical__order_state_normalized_mersin,gain_normalized,0.010670747,15
ao2_gradient_boosting_regressor,categorical__order_state_normalized_baki,gain_normalized,0.010657177,16
ao2_gradient_boosting_regressor,categorical__product_category_key_46_indoor/outdoor_games,gain_normalized,0.010620932,17
ao2_gradient_boosting_regressor,categorical__order_state_normalized_durango,gain_normalized,0.010487078,18
ao2_gradient_boosting_regressor,categorical__order_state_normalized_eskisehir,gain_normalized,0.01045857,19
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chinandega,gain_normalized,0.0103564095,20
