model_name,feature_name,coefficient,absolute_coefficient,sign,coefficient_rank
ao2_ridge_baseline,categorical__order_state_normalized_kandahar,-178.5716257118777,178.5716257118777,negative,1
ao2_ridge_baseline,categorical__order_state_normalized_diana,-153.04245770299508,153.04245770299508,negative,2
ao2_ridge_baseline,categorical__order_state_normalized_mie,-146.44984001805466,146.44984001805466,negative,3
ao2_ridge_baseline,categorical__order_state_normalized_jeju,-143.0344928308864,143.0344928308864,negative,4
ao2_ridge_baseline,categorical__order_state_normalized_kabarole,-134.85770335157653,134.85770335157653,negative,5
ao2_ridge_baseline,categorical__order_state_normalized_surjandarn,-129.24311945556133,129.24311945556133,negative,6
ao2_ridge_baseline,categorical__order_state_normalized_tadlaazilal,-124.95224131467114,124.95224131467114,negative,7
ao2_ridge_baseline,categorical__order_state_normalized_zhytmyr,-122.68901162106192,122.68901162106192,negative,8
ao2_ridge_baseline,categorical__order_state_normalized_tripura,-107.65748560204,107.65748560204,negative,9
ao2_ridge_baseline,categorical__order_state_normalized_central,-106.02633764166664,106.02633764166664,negative,10
ao2_ridge_baseline,categorical__order_state_normalized_alibori,-95.08795420674618,95.08795420674618,negative,11
ao2_ridge_baseline,categorical__order_state_normalized_asuncin,-94.09371939939078,94.09371939939078,negative,12
ao2_ridge_baseline,categorical__order_state_normalized_oriental,91.69007199173859,91.69007199173859,positive,13
ao2_ridge_baseline,categorical__order_state_normalized_stvropol,-90.21513785373345,90.21513785373345,negative,14
ao2_ridge_baseline,categorical__order_country_normalized_nepal,84.74046007095417,84.74046007095417,positive,15
ao2_ridge_baseline,categorical__order_state_normalized_nyanza,-84.52684941355292,84.52684941355292,negative,16
ao2_ridge_baseline,categorical__order_state_normalized_jorasn_del_sur,-80.99152220300655,80.99152220300655,negative,17
ao2_ridge_baseline,categorical__order_state_normalized_lusaka,76.98179791607012,76.98179791607012,positive,18
ao2_ridge_baseline,categorical__order_state_normalized_callao,-73.30248781085186,73.30248781085186,negative,19
ao2_ridge_baseline,categorical__order_state_normalized_lebap,-72.20160952434703,72.20160952434703,negative,20
ao2_ridge_baseline,categorical__order_state_normalized_sirnak,-67.00493561663401,67.00493561663401,negative,21
ao2_ridge_baseline,categorical__order_state_normalized_atakora,-66.83433400637837,66.83433400637837,negative,22
ao2_ridge_baseline,categorical__order_state_normalized_tabuk,-65.15182440061466,65.15182440061466,negative,23
ao2_ridge_baseline,categorical__order_state_normalized_shinyanga,63.352075825025416,63.352075825025416,positive,24
ao2_ridge_baseline,categorical__order_state_normalized_hunedoara,-61.60891305128551,61.60891305128551,negative,25
ao2_ridge_baseline,categorical__order_state_normalized_aksaray,-60.81169824972855,60.81169824972855,negative,26
ao2_ridge_baseline,categorical__order_state_normalized_magallanes_y_antrtica_chilena,-60.68340397781197,60.68340397781197,negative,27
ao2_ridge_baseline,categorical__order_country_normalized_paraguay,60.24918884890585,60.24918884890585,positive,28
ao2_ridge_baseline,categorical__order_country_normalized_zambia,-58.559706130405,58.559706130405,negative,29
ao2_ridge_baseline,categorical__order_state_normalized_manitoba,-58.340294950448694,58.340294950448694,negative,30
ao2_ridge_baseline,categorical__order_state_normalized_dzce,-56.51238393750233,56.51238393750233,negative,31
ao2_ridge_baseline,categorical__order_state_normalized_lara,-55.78029050645096,55.78029050645096,negative,32
ao2_ridge_baseline,categorical__order_state_normalized_benue,-55.39616238257266,55.39616238257266,negative,33
ao2_ridge_baseline,categorical__order_state_normalized_copperbelt,54.32545036108261,54.32545036108261,positive,34
ao2_ridge_baseline,categorical__order_state_normalized_yalova,-54.011376068828795,54.011376068828795,negative,35
ao2_ridge_baseline,categorical__order_state_normalized_virginia_occidental,-53.65131064008214,53.65131064008214,negative,36
ao2_ridge_baseline,categorical__order_state_normalized_maramures,-53.332210635659685,53.332210635659685,negative,37
ao2_ridge_baseline,categorical__order_state_normalized_garbchrardabeni_hsen,53.27664942723387,53.27664942723387,positive,38
ao2_ridge_baseline,categorical__order_state_normalized_mequineztafilalet,-51.541867286023795,51.541867286023795,negative,39
ao2_ridge_baseline,categorical__order_state_normalized_hradec_krlov,-50.86561374539513,50.86561374539513,negative,40
ao2_ridge_baseline,categorical__order_state_normalized_herat,49.9186432852257,49.9186432852257,positive,41
ao2_ridge_baseline,categorical__order_state_normalized_ishikawa,49.76549883606378,49.76549883606378,positive,42
ao2_ridge_baseline,categorical__order_state_normalized_kampala,48.98903780833026,48.98903780833026,positive,43
ao2_ridge_baseline,categorical__product_category_key_45_fishing,-48.702319421653556,48.702319421653556,negative,44
