diagnostic,value
residual_mean,0.6453064001768685
residual_standard_deviation,96.82714941792335
residual_median,15.66525879038511
residual_min,-1124.2730483155406
residual_max,258.5917344024185
absolute_error_mean,54.21910781630418
absolute_error_median,32.55914083289695
wrong_profit_sign_share,0.2536093896063428
residual_p10,-71.22436168222713
absolute_error_p10,5.27949397093104
residual_p25,-11.289117502112271
absolute_error_p25,13.963002454962856
residual_p50,15.66525879038511
absolute_error_p50,32.55914083289695
residual_p75,43.25372196858335
absolute_error_p75,62.855247588770936
residual_p90,73.89603780872586
absolute_error_p90,112.92034408442468
