model_name,feature_name,mean_abs_shap_value,mean_signed_shap_value,input_slice,sample_size,final_test_used,importance_share,rank
ao2_gradient_boosting_regressor,numeric_continuous__item_unit_price,106.21635,-12.297125,development_inner_validation,5000,False,0.06840939,1
ao2_gradient_boosting_regressor,categorical__order_state_normalized_kandahar,84.09245,-84.09245,development_inner_validation,5000,False,0.054160338,2
ao2_gradient_boosting_regressor,categorical__order_state_normalized_tadlaazilal,82.8676,-82.8676,development_inner_validation,5000,False,0.053371463,3
ao2_gradient_boosting_regressor,categorical__product_category_key_9_cardio_equipment,75.785034,-75.785034,development_inner_validation,5000,False,0.048809886,4
ao2_gradient_boosting_regressor,categorical__order_state_normalized_jeju,75.646225,-75.646225,development_inner_validation,5000,False,0.048720486,5
ao2_gradient_boosting_regressor,categorical__order_state_normalized_diana,52.950886,-52.950886,development_inner_validation,5000,False,0.03410339,6
ao2_gradient_boosting_regressor,categorical__order_state_normalized_nyanza,48.861282,-48.861282,development_inner_validation,5000,False,0.031469453,7
ao2_gradient_boosting_regressor,categorical__order_state_normalized_surjandarn,43.794174,-43.794174,development_inner_validation,5000,False,0.028205946,8
ao2_gradient_boosting_regressor,categorical__order_country_normalized_taiwn,40.522274,-40.522274,development_inner_validation,5000,False,0.026098657,9
ao2_gradient_boosting_regressor,categorical__order_state_normalized_yaroslavl,38.62251,-38.62251,development_inner_validation,5000,False,0.024875099,10
ao2_gradient_boosting_regressor,categorical__order_state_normalized_drenthe,37.93975,-37.93975,development_inner_validation,5000,False,0.024435364,11
ao2_gradient_boosting_regressor,categorical__order_state_normalized_stvropol,36.40762,-36.40762,development_inner_validation,5000,False,0.023448585,12
ao2_gradient_boosting_regressor,categorical__order_state_normalized_mequineztafilalet,31.921362,-31.921362,development_inner_validation,5000,False,0.020559179,13
ao2_gradient_boosting_regressor,categorical__order_state_normalized_zhytmyr,30.85819,-30.85819,development_inner_validation,5000,False,0.019874435,14
ao2_gradient_boosting_regressor,numeric_continuous__item_discount_rate,29.924955,17.802603,development_inner_validation,5000,False,0.019273378,15
ao2_gradient_boosting_regressor,categorical__product_category_key_45_fishing,27.852291,-27.852291,development_inner_validation,5000,False,0.017938465,16
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_in,26.73739,-26.73739,development_inner_validation,5000,False,0.017220406,17
ao2_gradient_boosting_regressor,categorical__order_state_normalized_tripura,24.843273,-24.843273,development_inner_validation,5000,False,0.016000485,18
ao2_gradient_boosting_regressor,categorical__order_state_normalized_gansu,24.20707,-24.20707,development_inner_validation,5000,False,0.015590734,19
ao2_gradient_boosting_regressor,numeric_continuous__order_item_quantity,21.086575,-0.36924994,development_inner_validation,5000,False,0.013580957,20
ao2_gradient_boosting_regressor,categorical__order_state_normalized_el_cairo,20.21537,-20.21537,development_inner_validation,5000,False,0.013019851,21
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_ri,19.713871,-19.713871,development_inner_validation,5000,False,0.012696858,22
ao2_gradient_boosting_regressor,categorical__product_department_key_3_footwear,16.527376,-16.527376,development_inner_validation,5000,False,0.010644573,23
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_va,16.009407,-16.009407,development_inner_validation,5000,False,0.010310971,24
ao2_gradient_boosting_regressor,categorical__order_state_normalized_huehuetenango,14.6752,-14.6752,development_inner_validation,5000,False,0.009451667,25
ao2_gradient_boosting_regressor,categorical__order_state_normalized_benue,14.318484,-14.318484,development_inner_validation,5000,False,0.009221921,26
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_md,13.369145,-13.369145,development_inner_validation,5000,False,0.008610493,27
ao2_gradient_boosting_regressor,categorical__Type_TRANSFER,12.521557,12.521557,development_inner_validation,5000,False,0.008064597,28
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chaco,12.198443,-12.198443,development_inner_validation,5000,False,0.007856494,29
ao2_gradient_boosting_regressor,categorical__order_state_normalized_mersin,11.270228,-11.270228,development_inner_validation,5000,False,0.00725867,30
ao2_gradient_boosting_regressor,categorical__order_state_normalized_jorasn_del_sur,11.008782,-11.008782,development_inner_validation,5000,False,0.007090284,31
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_mn,10.472738,-10.472738,development_inner_validation,5000,False,0.006745041,32
ao2_gradient_boosting_regressor,categorical__order_state_normalized_telangana,10.451893,-10.451893,development_inner_validation,5000,False,0.0067316154,33
ao2_gradient_boosting_regressor,categorical__order_state_normalized_plovdiv,9.856075,-9.856075,development_inner_validation,5000,False,0.0063478746,34
ao2_gradient_boosting_regressor,categorical__order_state_normalized_meca,9.71013,-9.71013,development_inner_validation,5000,False,0.0062538777,35
ao2_gradient_boosting_regressor,categorical__order_state_normalized_yalova,9.586054,-9.586054,development_inner_validation,5000,False,0.0061739655,36
ao2_gradient_boosting_regressor,categorical__order_state_normalized_lebap,8.932429,-8.932429,development_inner_validation,5000,False,0.005752994,37
ao2_gradient_boosting_regressor,categorical__order_state_normalized_tabuk,8.576969,-8.525753,development_inner_validation,5000,False,0.0055240574,38
ao2_gradient_boosting_regressor,numeric_continuous__order_month,8.570929,3.6781712,development_inner_validation,5000,False,0.005520167,39
ao2_gradient_boosting_regressor,categorical__order_state_normalized_berln,8.373262,8.359388,development_inner_validation,5000,False,0.0053928588,40
ao2_gradient_boosting_regressor,categorical__order_state_normalized_bashkortostn,8.359727,-8.359727,development_inner_validation,5000,False,0.005384141,41
ao2_gradient_boosting_regressor,categorical__customer_segment_normalized_home_office,8.265313,-8.22956,development_inner_validation,5000,False,0.005323333,42
ao2_gradient_boosting_regressor,categorical__order_state_normalized_cork,8.05663,-7.9470587,development_inner_validation,5000,False,0.0051889294,43
ao2_gradient_boosting_regressor,categorical__order_state_normalized_maramures,7.9725685,-7.9725685,development_inner_validation,5000,False,0.005134789,44
ao2_gradient_boosting_regressor,numeric_continuous__scheduled_shipping_days,7.5902057,-0.67759407,development_inner_validation,5000,False,0.0048885257,45
ao2_gradient_boosting_regressor,numeric_continuous__order_week_of_year,7.2643867,-2.3950806,development_inner_validation,5000,False,0.0046786796,46
